Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
ALB,Republic of Albania,Upper middle income,Europe & Central Asia,IBRD,,Albanian lek,2020 (expected),"Demographic and Health Survey, 2017/18",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2013,2018,2006,AL,AL,Albania,Albania
ARG,Argentine Republic,Upper middle income,Latin America & Caribbean,IBRD,,Argentine peso,2020 (expected),"Multiple Indicator Cluster Survey, 2019/20",,2004,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1971–84; 2012-15,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2008,2002,2018,2011,AR,AR,Argentina,Argentina
ARM,Republic of Armenia,Upper middle income,Europe & Central Asia,IBRD,,Armenian dram,2020 (expected),"Demographic and Health Survey, 2015/16",,Original chained constant price data are rescaled.,2012,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1990–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2014,,2018,2012,AM,AM,Armenia,Armenia
AUS,Commonwealth of Australia,High income,East Asia & Pacific,,,Australian dollar,2016,,Fiscal year end: June 30; reporting period for national accounts data: FY.,Original chained constant price data are rescaled.,2019,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",Yes,2015-2016,2013,2018,2013,AU,AU,Australia,Australia
AUT,Republic of Austria,High income,Europe & Central Asia,,Euro area,Euro,2011. Population figures compiled from administrative registers.,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,2010,AT,AT,Austria,Austria
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia,IBRD,,New Azeri manat,2019,"Demographic and Health Survey, 2006",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1992–95,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",Yes,2015,2013,2018,2012,AZ,AZ,Azerbaijan,Azerbaijan
BHR,Kingdom of Bahrain,High income,Middle East & North Africa,,,Bahraini dinar,2020 (expected). Population figures compiled from administrative registers.,"Multiple Indicator Cluster Survey, 2000",,2010,,Country uses the 1993 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,2010,2013,2018,2003,BH,BH,Bahrain,Bahrain
BGD,People's Republic of Bangladesh,Lower middle income,South Asia,IDA,,Bangladeshi taka,2011,"Multiple Indicator Cluster Survey, 2019",Fiscal year end: June 30; reporting period for national accounts data: FY.,2005/06,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2008,2011,2015,2008,BD,BD,Bangladesh,Bangladesh
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,IBRD,,Belarusian rubel,2019,"Multiple Indicator Cluster Survey, 2019","Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Original chained constant price data are rescaled.,2014,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1990–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,,2014,2018,2013,BY,BY,Belarus,Belarus
BEL,Kingdom of Belgium,High income,Europe & Central Asia,,Euro area,Euro,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,2010,2014,2018,2009,BE,BE,Belgium,Belgium
